depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path
0521,300,20220617,055733,2-0,092416,2-0,0521_300-20220617/0521_300-20220617-055733-2-0.json,0521_300-20220617/0521_300-20220617-092416-2-0.json,0521_300-20220617/0521_300-20220617-055733-2-0.txt,0521_300-20220617/0521_300-20220617-092416-2-0.txt
0521,301,20220530,064538,154-154,064538,154-154,0521_301-20220530/0521_301-20220530-064538-154-154.json,0521_301-20220530/0521_301-20220530-064538-154-154.json,0521_301-20220530/0521_301-20220530-064538-154-154.txt,0521_301-20220530/0521_301-20220530-064538-154-154.txt
0521,301,20220531,054500,159-0,064436,148-148,0521_301-20220531/0521_301-20220531-054500-159-0.json,0521_301-20220531/0521_301-20220531-064436-148-148.json,0521_301-20220531/0521_301-20220531-054500-159-0.txt,0521_301-20220531/0521_301-20220531-064436-148-148.txt
0521,301,20220601,053213,135-0,062223,131-131,0521_301-20220601/0521_301-20220601-053213-135-0.json,0521_301-20220601/0521_301-20220601-062223-131-131.json,0521_301-20220601/0521_301-20220601-053213-135-0.txt,0521_301-20220601/0521_301-20220601-062223-131-131.txt
0521,301,20220602,053759,139-0,054739,133-133,0521_301-20220602/0521_301-20220602-053759-139-0.json,0521_301-20220602/0521_301-20220602-054739-133-133.json,0521_301-20220602/0521_301-20220602-053759-139-0.txt,0521_301-20220602/0521_301-20220602-054739-133-133.txt
0521,301,20220603,053852,106-0,063715,103-103,0521_301-20220603/0521_301-20220603-053852-106-0.json,0521_301-20220603/0521_301-20220603-063715-103-103.json,0521_301-20220603/0521_301-20220603-053852-106-0.txt,0521_301-20220603/0521_301-20220603-063715-103-103.txt
0521,301,20220607,055050,118-0,063933,110-110,0521_301-20220607/0521_301-20220607-055050-118-0.json,0521_301-20220607/0521_301-20220607-063933-110-110.json,0521_301-20220607/0521_301-20220607-055050-118-0.txt,0521_301-20220607/0521_301-20220607-063933-110-110.txt
0521,301,20220608,053331,167-0,063258,166-166,0521_301-20220608/0521_301-20220608-053331-167-0.json,0521_301-20220608/0521_301-20220608-063258-166-166.json,0521_301-20220608/0521_301-20220608-053331-167-0.txt,0521_301-20220608/0521_301-20220608-063258-166-166.txt
0521,301,20220609,054447,161-0,063137,146-146,0521_301-20220609/0521_301-20220609-054447-161-0.json,0521_301-20220609/0521_301-20220609-063137-146-146.json,0521_301-20220609/0521_301-20220609-054447-161-0.txt,0521_301-20220609/0521_301-20220609-063137-146-146.txt
0521,301,20220610,054723,146-0,063624,142-142,0521_301-20220610/0521_301-20220610-054723-146-0.json,0521_301-20220610/0521_301-20220610-063624-142-142.json,0521_301-20220610/0521_301-20220610-054723-146-0.txt,0521_301-20220610/0521_301-20220610-063624-142-142.txt
